stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,zone_id,stop_name_stem,town_name,street_name
4900,Warszawa Zachodnia,,,52.220141,20.964975,0,,1,1,Warszawa Zachodnia,Warszawa,
4901,Warszawa Ochota,,,52.225818,20.990822,0,,2,1,Warszawa Ochota,Warszawa,
4913,Warszawa Aleje Jerozolimskie,,,52.206047,20.941004,0,,2,1,Warszawa Aleje Jerozolimskie,Warszawa,
500803,Elekcyjna,03,,52.229663,20.951688,0,,1,1,Elekcyjna,Warszawa,Wolska
500804,Elekcyjna,04,,52.229531,20.951155,0,,1,1,Elekcyjna,Warszawa,Wolska
500902,Reduta Wolska,02,,52.226156,20.941395,0,,1,1,Reduta Wolska,Warszawa,Wolska
500903,Reduta Wolska,03,,52.226348,20.941856,0,,1,1,Reduta Wolska,Warszawa,Wolska
500904,Reduta Wolska,04,,52.2263,20.941064,0,,1,1,Reduta Wolska,Warszawa,Wolska
500905,Reduta Wolska,05,,52.227015,20.94241,0,,1,1,Reduta Wolska,Warszawa,Redutowa
500906,Reduta Wolska,06,,52.227061,20.942736,0,,1,1,Reduta Wolska,Warszawa,Redutowa
504006,Rondo Daszyńskiego,06,,52.229858,20.984867,0,,1,1,Rondo Daszyńskiego,Warszawa,Towarowa
504009,Rondo Daszyńskiego,09,,52.229405,20.980452,0,,1,1,Rondo Daszyńskiego,Warszawa,Prosta
5040M:E3,3,,,52.22980373156,20.983543396,2,5040M,1,1,,,
5040M:E4,4,,,52.2297503,20.9824521,2,5040M,1,1,,,
5040M:E5,5,,,52.2296189,20.9817775,2,5040M,2,1,,,
504101,Karolkowa,01,,52.229325,20.979822,0,,1,1,Karolkowa,Warszawa,Prosta
504102,Karolkowa,02,,52.229614,20.978972,0,,1,1,Karolkowa,Warszawa,Prosta
504103,Karolkowa,03,,52.229446,20.979465,0,,1,1,Karolkowa,Warszawa,Prosta
504104,Karolkowa,04,,52.229396,20.978812,0,,1,1,Karolkowa,Warszawa,Prosta
504201,Szpital Wolski,01,,52.228602,20.970592,0,,1,1,Szpital Wolski,Warszawa,Kasprzaka
504202,Szpital Wolski,02,,52.228829,20.968369,0,,1,1,Szpital Wolski,Warszawa,Kasprzaka
504203,Szpital Wolski,03,,52.22865,20.968788,0,,1,1,Szpital Wolski,Warszawa,Kasprzaka
504204,Szpital Wolski,04,,52.228633,20.968009,0,,1,1,Szpital Wolski,Warszawa,Kasprzaka
504205,Szpital Wolski,05,,52.228044,20.967384,0,,1,1,Szpital Wolski,Warszawa,Krzyżanowskiego
504206,Szpital Wolski,06,,52.228185,20.96753,0,,1,1,Szpital Wolski,Warszawa,Krzyżanowskiego
504207,Szpital Wolski,07,,52.229168,20.96959,0,,2,1,Szpital Wolski,Warszawa,Skierniewicka
504208,Szpital Wolski,08,,52.229677,20.969537,0,,2,1,Szpital Wolski,Warszawa,Skierniewicka
